id,category,product_name,description,price,quantity,image_url,bulk_discount
136,adaptogens,Ashwagandha Gold Extract,"Premium KSM-66 Ashwagandha extract for stress relief and mental clarity. 60 vegetarian capsules.",24.99,100,/images/products/ashwagandha.jpg,
137,adaptogens,Rhodiola Rosea Complex,"Adaptogenic herb for energy and stress resistance. 90 capsules.",18.99,100,/images/products/rhodiola.jpg,
138,adaptogens,Holy Basil (Tulsi) Extract,"Sacred herb for stress relief and respiratory health. 60 capsules.",12.99,100,/images/products/tulsi.jpg,
139,adaptogens,Reishi Mushroom Tincture,"Dual-extracted reishi for immune support and calm. 60ml bottle.",29.99,100,/images/products/reishi.jpg,
140,immunity,Elderberry Immune Syrup,"Organic elderberry syrup with honey and zinc. 200ml bottle.",17.99,100,/images/products/elderberry.jpg,
141,immunity,Vitamin C + Zinc Complex,"High-potency vitamin C with zinc for immune support. 120 tablets.",9.99,100,/images/products/vitamin-c.jpg,
142,immunity,Golden Turmeric Capsules,"Curcumin with black pepper for enhanced absorption. 90 capsules.",15.99,100,/images/products/turmeric.jpg,
143,immunity,Echinacea Immune Drops,"Concentrated echinacea extract for seasonal wellness. 50ml.",13.99,100,/images/products/echinacea.jpg,
144,digestive,Probiotic 50 Billion CFU,"15 probiotic strains for complete gut health. 30 delayed-release capsules.",22.99,100,/images/products/probiotic.jpg,
145,digestive,Complete Digestive Enzymes,"Full-spectrum enzymes for optimal digestion. 90 capsules.",14.99,100,/images/products/enzymes.jpg,
146,digestive,Organic Triphala Powder,"Traditional Ayurvedic blend for digestive health. 200g jar.",8.99,100,/images/products/triphala.jpg,
147,digestive,Ginger Root Extract,"Concentrated ginger for digestive comfort. 60 capsules.",11.99,100,/images/products/ginger.jpg,
148,sleep,Deep Sleep Herbal Blend,"Valerian, chamomile & passionflower for restful sleep. 60 capsules.",18.99,100,/images/products/sleep-blend.jpg,
149,sleep,Melatonin Sleep Gummies,"Delicious berry-flavored gummies for better sleep. 60 gummies.",12.99,100,/images/products/melatonin.jpg,
150,sleep,Lavender Essential Oil,"Pure lavender oil for aromatherapy relaxation. 15ml bottle.",7.99,100,/images/products/lavender.jpg,
151,sleep,Magnesium Glycinate,"Highly absorbable magnesium for relaxation. 120 capsules.",15.99,100,/images/products/magnesium.jpg,
152,beauty,Marine Collagen Peptides,"Premium marine collagen for skin elasticity. 300g powder.",34.99,100,/images/products/collagen.jpg,
153,beauty,Biotin 10,000mcg,"High-potency biotin for hair, skin & nails. 90 tablets.",11.99,100,/images/products/biotin.jpg,
154,beauty,Hyaluronic Acid Serum,"Intensive hydration serum for plump skin. 30ml bottle.",19.99,100,/images/products/hyaluronic.jpg,
155,beauty,Natural Vitamin E Oil,"Antioxidant-rich oil for skin nourishment. 50ml bottle.",8.99,100,/images/products/vitamin-e.jpg,
156,energy,Korean Red Ginseng,"6-year aged Korean red ginseng extract. 60 capsules.",27.99,100,/images/products/ginseng.jpg,
157,energy,Organic Maca Root,"Peruvian maca for energy and stamina. 90 capsules.",14.99,100,/images/products/maca.jpg,
158,energy,Green Tea Extract EGCG,"Standardized EGCG for natural energy boost. 60 capsules.",12.99,100,/images/products/green-tea.jpg,
159,energy,Organic Spirulina Powder,"Nutrient-dense superfood for daily vitality. 250g jar.",18.99,100,/images/products/spirulina.jpg,
